"colBoth.protein"	"colBoth.count"
"742"	"B3438"	3
"743"	"B3451"	4
"744"	"B3452"	7
"745"	"B3453"	3
"746"	"B3454"	3
"747"	"B3455"	5
"748"	"B3456"	6
"749"	"B3457"	6
"750"	"B3458"	4
"751"	"B3461"	14
"752"	"B3462"	5
"753"	"B3463"	4
"754"	"B3476"	9
"755"	"B3477"	14
"756"	"B3478"	19
"757"	"B3479"	12
"758"	"B3480"	12
"759"	"B3482"	3
"760"	"B3502"	2
"761"	"B3517"	5
"762"	"B3540"	10
"763"	"B3541"	9
"764"	"B3542"	24
"765"	"B3543"	8
"766"	"B3551"	2
"767"	"B3559"	3
"768"	"B3565"	2
"769"	"B3567"	2
"770"	"B3582"	2
"771"	"B3583"	3
"772"	"B3590"	10
"773"	"B3599"	3
"774"	"B3600"	3
"775"	"B3603"	3
"776"	"B3604"	2
"777"	"B3607"	4
"778"	"B3608"	2
"779"	"B3616"	5
"780"	"B3619"	3
"781"	"B3620"	3
"782"	"B3621"	8
"783"	"B3624"	2
"784"	"B3626"	3
"785"	"B3627"	2
"786"	"B3628"	2
"787"	"B3629"	2
"788"	"B3630"	5
"789"	"B3631"	2
"790"	"B3632"	5
"791"	"B3633"	4
"792"	"B3634"	3
"793"	"B3636"	8
"794"	"B3637"	5
"795"	"B3640"	2
"796"	"B3642"	8
"797"	"B3648"	3
"798"	"B3649"	9
"799"	"B3650"	6
"800"	"B3651"	3
"801"	"B3652"	20
"802"	"B3666"	4
"803"	"B3667"	3
"804"	"B3668"	3
"805"	"B3669"	5
"806"	"B3670"	2
"807"	"B3671"	7
"808"	"B3699"	12
"809"	"B3700"	10
"810"	"B3701"	13
"811"	"B3702"	18
"812"	"B3703"	10
"813"	"B3704"	7
"814"	"B3705"	8
"815"	"B3706"	9
"816"	"B3708"	2
"817"	"B3710"	2
"818"	"B3721"	3
"819"	"B3722"	2
"820"	"B3723"	3
"821"	"B3724"	6
"822"	"B3725"	6
"823"	"B3726"	6
"824"	"B3727"	4
"825"	"B3728"	5
"826"	"B3729"	4
"827"	"B3732"	8
"828"	"B3733"	8
"829"	"B3734"	10
"830"	"B3735"	8
"831"	"B3736"	8
"832"	"B3737"	8
"833"	"B3738"	11
"834"	"B3739"	9
"835"	"B3740"	3
"836"	"B3741"	5
"837"	"B3742"	3
"838"	"B3743"	3
"839"	"B3749"	5
"840"	"B3750"	7
"841"	"B3751"	12
"842"	"B3752"	5
"843"	"B3767"	7
"844"	"B3770"	4
"845"	"B3771"	9
"846"	"B3772"	8
"847"	"B3773"	4
"848"	"B3774"	14
"849"	"B3778"	3
"850"	"B3781"	2
"851"	"B3783"	3
"852"	"B3788"	3
"853"	"B3793"	3
"854"	"B3805"	7
"855"	"B3811"	4
"856"	"B3813"	9
"857"	"B3822"	3
"858"	"B3829"	5
"859"	"B3831"	2
"860"	"B3834"	3
"861"	"B3835"	3
"862"	"B3838"	2
"863"	"B3843"	2
"864"	"B3847"	2
"865"	"B3856"	4
"866"	"B3868"	3
"867"	"B3869"	5
"868"	"B3876"	2
"869"	"B3893"	2
"870"	"B3895"	2
"871"	"B3903"	4
"872"	"B3904"	4
"873"	"B3905"	3
"874"	"B3906"	6
"875"	"B3911"	14
"876"	"B3912"	17
"877"	"B3916"	5
"878"	"B3919"	8
"879"	"B3925"	3
"880"	"B3926"	4
"881"	"B3931"	3
"882"	"B3933"	8
