"test5.gene"	"test5.count"
"860"	"DCN1"	29
"861"	"DCP1"	74
"862"	"DCP2"	167
"863"	"DCR2"	81
"864"	"DCS1"	24
"865"	"DCS2"	31
"866"	"DCW1"	22
"867"	"DDC1"	186
"868"	"DDI1"	54
"869"	"DDL1"	15
"870"	"DDP1"	24
"871"	"DDR2"	4
"872"	"DDR48"	42
"873"	"DED1"	188
"874"	"DED81"	186
"875"	"DEF1"	82
"876"	"DEG1"	379
"877"	"DEP1"	577
"878"	"DER1"	177
"879"	"DET1"	15
"880"	"DFG10"	12
"881"	"DFG16"	226
"882"	"DFG5"	64
"883"	"DFM1"	66
"884"	"DFR1"	42
"885"	"DGA1"	56
"886"	"DGK1"	311
"887"	"DGR2"	28
"888"	"DHH1"	404
"889"	"DHR2"	38
"890"	"DIA1"	23
"891"	"DIA2"	431
"892"	"DIA3"	12
"893"	"DIA4"	93
"894"	"DIB1"	31
"895"	"DIC1"	31
"896"	"DID2"	101
"897"	"DID4"	119
"898"	"DIE2"	122
"899"	"DIF1"	20
"900"	"DIG1"	88
"901"	"DIG2"	48
"902"	"DIM1"	53
"903"	"DIN7"	15
"904"	"DIP2"	30
"905"	"DIP5"	62
"906"	"DIS3"	77
"907"	"DIT1"	36
"908"	"DIT2"	49
"909"	"DLD1"	24
"910"	"DLD2"	19
"911"	"DLD3"	22
"912"	"DLS1"	28
"913"	"DMA1"	70
"914"	"DMA2"	94
"915"	"DMC1"	67
"916"	"DNA2"	92
"917"	"DNF1"	51
"918"	"DNF2"	40
"919"	"DNF3"	33
"920"	"DNL4"	52
"921"	"DNM1"	154
"922"	"DOA1"	586
"923"	"DOA4"	149
"924"	"DOC1"	74
"925"	"DOG1"	32
"926"	"DOG2"	23
"927"	"DOM34"	91
"928"	"DOP1"	96
"929"	"DOS2"	26
"930"	"DOT1"	210
"931"	"DOT5"	33
"932"	"DOT6"	72
"933"	"DPB11"	120
"934"	"DPB2"	72
"935"	"DPB3"	222
"936"	"DPB4"	132
"937"	"DPH1"	41
"938"	"DPH2"	33
"939"	"DPH5"	114
"940"	"DPH6"	23
"941"	"DPL1"	56
"942"	"DPM1"	98
"943"	"DPP1"	46
"944"	"DPS1"	42
"945"	"DRE2"	34
"946"	"DRN1"	37
"947"	"DRS1"	90
"948"	"DRS2"	268
"949"	"DSC2"	20
"950"	"DSC3"	36
"951"	"DSE1"	36
"952"	"DSE2"	20
"953"	"DSE3"	40
"954"	"DSE4"	10
"955"	"DSF1"	28
"956"	"DSF2"	21
"957"	"DSK2"	81
"958"	"DSL1"	83
"959"	"DSN1"	572
"960"	"DSS1"	71
"961"	"DSS4"	40
"962"	"DST1"	323
"963"	"DTD1"	28
"964"	"DTR1"	20
"965"	"DUF1"	49
"966"	"DUG1"	26
"967"	"DUG2"	22
"968"	"DUG3"	8
"969"	"DUN1"	462
"970"	"DUO1"	168
"971"	"DUR1,2"	20
"972"	"DUR3"	25
"973"	"DUS1"	20
"974"	"DUS3"	33
"975"	"DUS4"	11
"976"	"DUT1"	51
"977"	"DYN1"	293
"978"	"DYN2"	91
"979"	"DYN3"	190
"980"	"DYS1"	84
"981"	"EAF1"	538
"982"	"EAF3"	342
"983"	"EAF5"	280
"984"	"EAF6"	162
"985"	"EAF7"	439
"986"	"EAP1"	78
"987"	"EAR1"	10
"988"	"EBP2"	132
"989"	"EBS1"	45
"990"	"ECI1"	12
"991"	"ECM1"	77
"992"	"ECM10"	40
"993"	"ECM11"	18
"994"	"ECM12"	3
"995"	"ECM13"	20
"996"	"ECM14"	37
"997"	"ECM15"	16
"998"	"ECM16"	71
"999"	"ECM19"	7
"1000"	"ECM2"	135
"1001"	"ECM21"	41
"1002"	"ECM22"	54
"1003"	"ECM23"	16
"1004"	"ECM25"	34
"1005"	"ECM29"	213
"1006"	"ECM3"	29
"1007"	"ECM30"	74
"1008"	"ECM31"	22
"1009"	"ECM32"	16
"1010"	"ECM33"	290
"1011"	"ECM38"	23
"1012"	"ECM5"	35
"1013"	"ECM8"	54
"1014"	"ECO1"	56
"1015"	"ECT1"	32
"1016"	"EDC1"	32
"1017"	"EDC2"	52
"1018"	"EDC3"	85
"1019"	"EDE1"	207
"1020"	"EDS1"	69
"1021"	"EEB1"	11
"1022"	"EFB1"	62
"1023"	"EFG1"	21
"1024"	"EFM1"	25
"1025"	"EFM2"	8
"1026"	"EFM3"	13
"1027"	"EFM4"	21
"1028"	"EFM6"	20
"1029"	"EFR3"	18
"1030"	"EFT1"	87
"1031"	"EFT2"	152
"1032"	"EGD1"	99
"1033"	"EGD2"	81
"1034"	"EGH1"	19
"1035"	"EGT2"	18
"1036"	"EHD3"	35
"1037"	"EHT1"	65
"1038"	"EIS1"	66
"1039"	"EKI1"	22
"1040"	"ELA1"	61
"1041"	"ELC1"	67
"1042"	"ELF1"	189
"1043"	"ELG1"	336
"1044"	"ELM1"	478
"1045"	"ELO1"	81
"1046"	"ELO2"	284
"1047"	"ELO3"	545
"1048"	"ELP2"	359
"1049"	"ELP3"	383
"1050"	"ELP4"	283
"1051"	"ELP6"	282
"1052"	"EMC1"	56
"1053"	"EMC10"	34
"1054"	"EMC2"	88
"1055"	"EMC3"	48
